冒天下之大不讳=冒天下之大不韪|冒天下之大不韙
越组代庖=越俎代庖|越俎代庖
越祖代庖=越俎代庖|越俎代庖
追本朔源=追本溯源|追本溯源
昙花一显=昙花一现|曇花一現
丢人显眼=丢人现眼|丟人現眼
显身说法=现身说法|現身說法
坦胸露臂=袒胸露臂|袒胸露臂
坦胸露乳=袒胸露乳|袒胸露乳
坦露上身=袒露上身|袒露上身
袒诚相见=坦诚相见|坦誠相見
长嘘短叹=长吁短叹|長吁短嘆
富丽唐皇=富丽堂皇|富麗堂皇
桃梨满园=桃李满园|桃李滿園
醍醐贯顶=醍醐灌顶|醍醐灌頂
提心掉胆=提心吊胆|提心吊膽
形影相掉=形影相吊|形影相吊
题纲挈领=提纲挈领|提綱挈領
题纲携领=提纲挈领|提綱挈領
提纲携领=提纲挈领|提綱挈領
天经地仪=天经地义|天經地義
婷婷玉立=亭亭玉立|亭亭玉立
挺而走险=铤而走险|鋌而走險
通货膨涨=通货膨胀|通貨膨脹
图谋不规=图谋不轨|圖謀不軌
步入正规=步入正轨|步入正軌
图穷匕现=图穷匕见|圖窮匕見
推陈相见=推诚相见|推誠相見
推托责任=推脱责任|推脫責任
推心至腹=推心置腹|推心置腹
推心质腹=推心置腹|推心置腹
毋庸质疑=毋庸置疑|毋庸置疑
不容质疑=不容置疑|不容置疑
不可质疑=不可置疑|不可置疑
退化变质=蜕化变质|蛻化變質
屯积居奇=囤积居奇|囤積居奇
脱颍而出=脱颖而出|脫穎而出
歪风斜气=歪风邪气|歪風邪氣
歪门斜道=歪门邪道|歪門邪道
改斜归正=改邪归正|改邪歸正
玩世不公=玩世不恭|玩世不恭
万古常青=万古长青|萬古長青
万冠家财=万贯家财|萬貫家財
置若惘闻=置若罔闻|置若罔聞
忘夫所以=忘乎所以|忘乎所以
名门旺族=名门望族|名門望族
喜出往外=喜出望外|喜出望外
望洋心叹=望洋兴叹|望洋興嘆
正襟威坐=正襟危坐|正襟危坐
危如磊卵=危如累卵|危如累卵
运筹惟幄=运筹帷幄|運籌帷幄
运筹唯幄=运筹帷幄|運籌帷幄
运筹维幄=运筹帷幄|運籌帷幄
运筹惟握=运筹帷幄|運籌帷幄
运筹唯握=运筹帷幄|運籌帷幄
运筹维握=运筹帷幄|運籌帷幄
运筹帷握=运筹帷幄|運籌帷幄
不温不火=不瘟不火|不瘟不火
闻过饰非=文过饰非|文過飾非
有条不稳=有条不紊|有條不紊
协从不问=胁从不问|脅從不問
无人问斤=无人问津|無人問津
坐想其成=坐享其成|坐享其成
暴烈恣睢=暴戾恣睢|暴戾恣睢
自立更生=自力更生|自力更生
自名得意=自鸣得意|自鳴得意
自名不凡=自命不凡|自命不凡
纵横捭合=纵横捭阖|縱橫捭闔
卓智多谋=足智多谋|足智多謀
飞机着落=飞机着陆|飛機著陸
抓耳扰腮=抓耳挠腮|抓耳撓腮
钟灵玉秀=钟灵毓秀|鍾靈毓秀
奋斗终身=奋斗终生|奮鬥終生
舍身取义=舍生取义|捨生取義
素未平身=素未平生|素未平生
终生大事=终身大事|終身大事
不浮众望=不孚众望|不孚眾望
口株笔伐=口诛笔伐|口誅筆伐
诛连无辜=株连无辜|株連無辜
振济灾民=赈济灾民|賑濟災民
指手划脚=指手画脚|指手畫腳
珍重其事=郑重其事|鄭重其事
风雨如诲=风雨如晦|風雨如晦
直言不晦=直言不讳|直言不諱
表本兼治=标本兼治|標本兼治
治丝益纷=治丝益棼|治絲益棼
轶序井然=秩序井然|秩序井然
远见灼识=远见卓识|遠見卓識
真知卓见=真知灼见|真知灼見
作奸犯课=作奸犯科|作姦犯科
照本宣课=照本宣科|照本宣科
照然若揭=昭然若揭|昭然若揭
仗义输财=仗义疏财|仗義疏財
明火执杖=明火执仗|明火執仗
张惶失措=张皇失措|張皇失措
彰善惮恶=彰善瘅恶|彰善癉惡
战战精精=战战兢兢|戰戰兢兢
战战竞精=战战兢兢|戰戰兢兢
战战惊精=战战兢兢|戰戰兢兢
战战精竞=战战兢兢|戰戰兢兢
战战竞竞=战战兢兢|戰戰兢兢
战战惊竞=战战兢兢|戰戰兢兢
战战精惊=战战兢兢|戰戰兢兢
战战竞惊=战战兢兢|戰戰兢兢
战战惊惊=战战兢兢|戰戰兢兢
精精业业=兢兢业业|兢兢業業
竞精业业=兢兢业业|兢兢業業
惊精业业=兢兢业业|兢兢業業
精竞业业=兢兢业业|兢兢業業
竞竞业业=兢兢业业|兢兢業業
惊竞业业=兢兢业业|兢兢業業
精惊业业=兢兢业业|兢兢業業
竞惊业业=兢兢业业|兢兢業業
惊惊业业=兢兢业业|兢兢業業
令人乍舌=令人咋舌|令人咋舌
古今杂揉=古今杂糅|古今雜糅
陨身不恤=殒身不恤|殞身不恤
纭纭众生=芸芸众生|蕓蕓眾生
沿木求鱼=缘木求鱼|緣木求魚
语无论次=语无伦次|語無倫次
语无仑次=语无伦次|語無倫次
余勇可沽=余勇可贾|餘勇可賈
宥于成见=囿于成见|囿於成見
估名钓誉=沽名钓誉|沽名釣譽
有口皆杯=有口皆碑|有口皆碑
耳根清静=耳根清净|耳根清凈
利害悠关=利害攸关|利害攸關
犹柔寡断=优柔寡断|優柔寡斷
忧柔寡断=优柔寡断|優柔寡斷
涌跃报名=踊跃报名|踴躍報名
永往直前=勇往直前|勇往直前
永保青春=永葆青春|永葆青春
拥塞不通=壅塞不通|壅塞不通
壅荣华贵=雍荣华贵|雍榮華貴
影影约约=隐隐约约|隱隱約約
隐隐绰绰=影影绰绰|影影綽綽
引疚自责=引咎自责|引咎自責
肄无忌惮=肆无忌惮|肆無忌憚
不郎不莠=不郎不秀|不郎不秀
良秀不齐=良莠不齐|良莠不齊
依仗权势=倚仗权势|倚仗權勢
以老卖老=倚老卖老|倚老賣老
以逸代劳=以逸待劳|以逸待勞
严阵以代=严阵以待|嚴陣以待
贻然自得=怡然自得|怡然自得
毫无疑议=毫无疑义|毫無疑義
不可思义=不可思议|不可思議
一喏千金=一诺千金|一諾千金
一劳永易=一劳永逸|一勞永逸
一獗不振=一蹶不振|一蹶不振
一鼓足气=一鼓作气|一鼓作氣
不作为训=不足为训|不足為訓
一盖而论=一概而论|一概而論
以偏盖全=以偏概全|以偏概全
钓销执照=吊销执照|吊銷執照
钓消执照=吊销执照|吊銷執照
吊消执照=吊销执照|吊銷執照
弃甲拽兵=弃甲曳兵|棄甲曳兵
跃武扬威=耀武扬威|耀武揚威
指高气扬=趾高气扬|趾高氣揚
扬扬洒洒=洋洋洒洒|洋洋灑灑
眼花撩乱=眼花缭乱|眼花繚亂
严正申明=严正声明|嚴正聲明
和言悦色=和颜悦色|和顏悅色
察颜观色=察言观色|察言觀色
淹没无闻=湮没无闻|湮沒無聞
厌厌欲睡=恹恹欲睡|懨懨欲睡
央央大国=泱泱大国|泱泱大國
器度不凡=气度不凡|氣度不凡
喧然大波=轩然大波|軒然大波
沆泄一气=沆瀣一气|沆瀣一氣
别出新裁=别出心裁|別出心裁
心劳日绌=心劳日拙|心勞日拙
睡眼醒松=睡眼惺忪|睡眼惺忪
猩猩作态=惺惺作态|惺惺作態
凶相必露=凶相毕露|凶相畢露
原形必露=原形毕露|原形畢露
锋芒必露=锋芒毕露|鋒芒畢露
修养生息=休养生息|休養生息
学识休养=学识修养|學識修養
扶老偕幼=扶老携幼|扶老攜幼
白头携老=白头偕老|白頭偕老
风雨萧萧=风雨潇潇|風雨瀟瀟
宵衣干食=宵衣旰食|宵衣旰食
降龙服虎=降龙伏虎|降龍伏虎
认罪服法=认罪伏法|認罪伏法
安置若素=安之若素|安之若素
下车一始=下车伊始|下車伊始
相辅相承=相辅相成|相輔相成
畏崽不前=畏葸不前|畏葸不前
歇事宁人=息事宁人|息事寧人
作歇时间=作息时间|作息時間
无泄可击=无懈可击|無懈可擊
无细可乘=无隙可乘|無隙可乘
无所是从=无所适从|無所適從
无尚光荣=无上光荣|無上光榮
至高无尚=至高无上|至高無上
无计之谈=无稽之谈|無稽之談
无讥之谈=无稽之谈|無稽之談
反唇相击=反唇相讥|反唇相譏
反来复去=翻来覆去|翻來覆去
反来覆去=翻来覆去|翻來覆去
翻来复去=翻来覆去|翻來覆去
造谣装骗=招摇撞骗|招搖撞騙
造谣撞骗=招摇撞骗|招搖撞騙
招摇装骗=招摇撞骗|招搖撞騙
板上走丸=阪上走丸|阪上走丸
坂上走丸=阪上走丸|阪上走丸
趁心如意=称心如意|稱心如意
墨守陈规=墨守成规|墨守成規
默守成规=墨守成规|墨守成規
默守陈规=墨守陈规|墨守陳規
入不付出=入不敷出|入不敷出
